Match_Status,Team1,Team2,Score,Goals
59' (Ended early),EGEMENPROJETAKIMI,VITORIA SPORT CLUBE,1 - 3,37' Erling Haaland
FT,EGEMENPROJETAKIMI,AVATAR FC,2 - 1,27' Ousmane Dembele | 49' Virgil van Dijk | 75' Rodri
FT,EGEMENPROJETAKIMI,KRAL,2 - 1,23' Ousmane Dembele | 54' Ousmane Dembele
39' (Ended early),EGEMENPROJETAKIMI,WHOSYADADDY,3 - 0,8' Erling Haaland | 33' Erling Haaland
FT,EGEMENPROJETAKIMI,MOUSTAPHA,3 - 2,43' Vini Jr. | 54' Ousmane Dembele | 78' Rodri | 89' Antonio Rudiger
FT,EGEMENPROJETAKIMI,Dream FC,2 - 1,45' Erling Haaland | 84' Erling Haaland
FT,EGEMENPROJETAKIMI,PALUSPOR,1 - 1,57' Vini Jr.
FT,EGEMENPROJETAKIMI,RSBERKANE,3 - 1,40' Vini Jr. | 45' Erling Haaland | 70' Erling Haaland | 84' Antonio Rudiger
FT,EGEMENPROJETAKIMI,Dream FC,3 - 1,52' Erling Haaland | 74' Erling Haaland | 84' Jude Bellingham
88' (Ended early),EGEMENPROJETAKIMI,KOSOMAK,0 - 2,
FT,EGEMENPROJETAKIMI,JSKABYLIE,1 - 1,77' Erling Haaland
76' (Ended early),EGEMENPROJETAKIMI,WELAD ELWES5A,1 - 3,9' Erling Haaland | 18' Virgil van Dijk
FT,EGEMENPROJETAKIMI,GALATASARAY,2 - 1,27' Vini Jr. | 84' Erling Haaland
FT,EGEMENPROJETAKIMI,Dream FC,2 - 2,8' Kevin De Bruyne | 37' Erling Haaland
FT,EGEMENPROJETAKIMI,FC AD,2 - 1,10' Jude Bellingham | 73' Erling Haaland
FT,EGEMENPROJETAKIMI,CHELSEA FC,1 - 1,30' Ousmane Dembele
FT,EGEMENPROJETAKIMI,TURKIYE,1 - 1,83' Kevin De Bruyne
FT,EGEMENPROJETAKIMI,Dream FC,3 - 0,16' Erling Haaland | 26' Vini Jr. | 76' Virgil van Dijk
FT,EGEMENPROJETAKIMI,TJK,1 - 0,82' Kingsley Coman
76' (Ended early),EGEMENPROJETAKIMI,OLUWAFERRARI,4 - 0,6' Vini Jr. | 13' Vini Jr. | 45' Virgil van Dijk | 49' Erling Haaland
FT,EGEMENPROJETAKIMI,KITROU FC,0 - 0,
56' (Ended early),EGEMENPROJETAKIMI,AZERBAIJAN EAGLE,3 - 0,39' Erling Haaland | 45' Erling Haaland | 56' Erling Haaland
FT,EGEMENPROJETAKIMI,CIMBOMBOMM,0 - 0,
FT,EGEMENPROJETAKIMI,BORUSSIA DORTMUND,0 - 0,75' Rodri
FT,EGEMENPROJETAKIMI,REAL MADRID,1 - 2,4' Erling Haaland
FT,EGEMENPROJETAKIMI,RED BULL BRAGANTINO,1 - 1,5' Ousmane Dembele
FT,EGEMENPROJETAKIMI,GALATASARAY,3 - 3,26' Erling Haaland | 40' Erling Haaland | 56' Erling Haaland
11' (Ended early),EGEMENPROJETAKIMI,COBRA,3 - 0,4' Erling Haaland
FT,EGEMENPROJETAKIMI,KAKO FC,1 - 3,3' Erling Haaland | 66' Virgil van Dijk
FT,EGEMENPROJETAKIMI,BJK,3 - 2,8' Erling Haaland | 49' Erling Haaland | 70' Erling Haaland
69' (Ended early),EGEMENPROJETAKIMI,BJK,2 - 0,17' Erling Haaland | 31' Erling Haaland
FT,EGEMENPROJETAKIMI,KAZAKSTAN ARAL,1 - 1,48' Erling Haaland | 80' Virgil van Dijk | 90' Andrew Robertson
FT,EGEMENPROJETAKIMI,REAL MADRID,1 - 1,81' Vini Jr.
